iter	Passed	Remaining
404	3701	5438
405	3708	5426
406	3715	5413
407	3725	5405
408	3732	5392
409	3739	5380
410	3745	5368
411	3753	5356
412	3760	5344
413	3766	5330
414	3773	5318
415	3779	5306
416	3787	5295
417	3794	5283
418	3802	5272
419	3809	5260
420	3815	5248
421	3823	5237
422	3830	5225
423	3837	5212
424	3844	5201
425	3850	5188
426	3859	5178
427	3866	5167
428	3874	5156
429	3881	5145
430	3889	5135
431	3896	5122
432	3903	5111
433	3910	5099
434	3916	5087
435	3924	5076
436	3932	5066
437	3938	5053
438	3944	5040
439	3950	5027
440	3957	5016
441	3964	5005
442	3971	4993
443	3978	4981
444	3984	4969
445	3991	4957
446	3998	4946
447	4004	4934
448	4010	4921
449	4017	4910
450	4025	4899
451	4031	4887
452	4037	4875
453	4044	4864
454	4051	4852
455	4058	4841
456	4065	4830
457	4072	4819
458	4079	4808
459	4087	4797
460	4094	4787
461	4101	4776
462	4108	4765
463	4115	4753
464	4122	4742
465	4129	4732
466	4135	4720
467	4142	4708
468	4148	4697
469	4155	4686
470	4162	4675
471	4169	4664
472	4176	4653
473	4183	4642
474	4190	4631
475	4198	4621
476	4205	4610
477	4212	4600
478	4220	4590
479	4228	4580
480	4235	4569
481	4243	4560
482	4250	4549
483	4258	4540
484	4267	4530
485	4274	4520
486	4281	4510
487	4289	4500
488	4297	4490
489	4305	4481
490	4312	4470
491	4319	4459
492	4326	4449
493	4333	4438
494	4340	4428
495	4347	4417
496	4354	4407
497	4360	4395
498	4367	4384
499	4374	4374
500	4381	4364
501	4388	4354
502	4395	4343
503	4403	4333
504	4410	4323
505	4417	4312
506	4425	4302
507	4433	4293
508	4440	4283
509	4447	4273
510	4455	4263
511	4462	4253
512	4469	4243
513	4477	4233
514	4484	4223
515	4492	4213
516	4499	4203
517	4506	4193
518	4513	4183
519	4520	4173
520	4529	4164
521	4536	4154
522	4543	4144
523	4549	4133
524	4556	4122
525	4564	4113
526	4575	4106
527	4584	4097
528	4591	4088
529	4599	4078
530	4606	4068
531	4613	4058
532	4620	4048
533	4628	4038
534	4636	4030
535	4644	4020
536	4650	4010
537	4658	4000
538	4664	3989
539	4671	3979
540	4678	3969
541	4685	3959
542	4691	3948
543	4698	3938
544	4705	3928
545	4712	3918
546	4718	3907
547	4725	3897
548	4731	3886
549	4737	3875
550	4744	3865
551	4751	3856
552	4758	3846
553	4766	3837
554	4772	3826
555	4778	3815
556	4786	3806
557	4792	3795
558	4798	3785
559	4804	3774
560	4811	3764
561	4819	3756
562	4828	3747
563	4835	3738
564	4841	3727
565	4849	3718
566	4856	3708
567	4864	3699
568	4872	3690
569	4878	3680
570	4885	3670
571	4892	3660
572	4899	3651
573	4907	3642
574	4914	3632
575	4921	3622
576	4928	3612
577	4934	3602
578	4942	3593
579	4949	3583
580	4957	3574
581	4964	3565
582	4972	3556
583	4979	3547
584	4986	3537
585	4994	3528
586	5000	3518
587	5007	3508
588	5015	3499
589	5023	3490
590	5035	3484
591	5069	3493
592	5097	3498
593	5143	3515
594	5177	3524
595	5206	3528
596	5227	3528
597	5243	3524
598	5256	3519
599	5280	3520
600	5299	3518
601	5313	3513
602	5323	3504
603	5335	3497
604	5345	3489
605	5353	3480
606	5364	3473
607	5374	3465
608	5390	3461
609	5403	3454
610	5414	3447
611	5427	3441
612	5438	3433
613	5447	3424
614	5458	3416
615	5468	3408
616	5479	3401
617	5495	3396
618	5504	3387
619	5514	3379
620	5524	3371
621	5534	3363
622	5545	3355
623	5555	3347
624	5565	3339
625	5576	3331
626	5586	3323
627	5595	3314
628	5603	3304
629	5612	3296
630	5620	3286
631	5629	3277
632	5637	3268
633	5645	3259
634	5653	3249
635	5661	3240
636	5669	3230
637	5678	3221
638	5693	3216
639	5703	3208
640	5712	3199
641	5721	3190
642	5729	3181
643	5738	3171
644	5746	3162
645	5753	3152
646	5761	3143
647	5771	3135
648	5778	3125
649	5785	3115
650	5792	3105
651	5800	3096
652	5807	3086
653	5814	3076
654	5821	3066
655	5829	3057
656	5837	3047
657	5843	3037
658	5851	3027
659	5859	3018
660	5866	3008
661	5873	2998
662	5881	2989
663	5887	2978
664	5893	2969
665	5900	2958
666	5908	2949
667	5915	2940
668	5922	2930
669	5929	2920
670	5937	2911
671	5943	2901
672	5950	2891
673	5959	2882
674	5966	2872
675	5974	2863
676	5982	2854
677	5988	2844
678	5994	2834
679	6003	2825
680	6010	2815
681	6017	2805
682	6024	2795
683	6030	2786
684	6037	2776
685	6044	2766
686	6051	2756
687	6056	2746
688	6063	2736
689	6070	2727
690	6076	2717
691	6085	2708
692	6094	2699
693	6100	2689
694	6107	2680
695	6115	2671
696	6122	2661
697	6129	2652
698	6136	2642
699	6143	2633
700	6151	2623
701	6159	2614
702	6166	2605
703	6172	2595
704	6180	2586
705	6188	2576
706	6195	2567
707	6202	2557
708	6208	2548
709	6216	2539
710	6224	2530
711	6231	2520
712	6238	2511
713	6245	2501
714	6252	2492
715	6260	2483
716	6268	2474
717	6275	2464
718	6282	2455
719	6290	2446
720	6297	2436
721	6304	2427
722	6311	2418
723	6320	2409
724	6327	2399
725	6333	2390
726	6341	2381
727	6347	2371
728	6354	2362
729	6359	2352
730	6367	2342
731	6374	2333
732	6381	2324
733	6387	2314
734	6394	2305
735	6403	2296
736	6411	2287
737	6418	2278
738	6425	2269
739	6432	2260
740	6439	2250
741	6445	2241
742	6452	2231
743	6458	2222
744	6465	2213
745	6472	2203
746	6478	2194
747	6486	2185
748	6493	2176
749	6500	2166
750	6507	2157
751	6515	2148
752	6522	2139
753	6529	2130
754	6536	2121
755	6543	2111
756	6550	2102
757	6558	2093
758	6566	2085
759	6573	2075
760	6580	2066
761	6587	2057
762	6596	2048
763	6603	2039
764	6610	2030
765	6617	2021
766	6623	2012
767	6630	2002
768	6636	1993
769	6642	1984
770	6649	1975
771	6657	1966
772	6664	1956
773	6670	1947
774	6676	1938
775	6683	1929
776	6690	1920
777	6697	1911
778	6704	1901
779	6711	1892
780	6718	1883
781	6724	1874
782	6731	1865
783	6738	1856
784	6745	1847
785	6753	1838
786	6760	1829
787	6768	1820
788	6775	1811
